Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field ( when figure it out why),Custom field (BusinessValue),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Time(h)),Custom field (Rank),Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (effect),Custom field (how to avoid),Custom field (reason),Custom field (solved time(actual)),Custom field (solved time(estimated)),Custom field (spokesperson(dev)),Custom field (spokesperson(mkt)),Custom field (when found (dev)),Custom field (when found (mkt)),Comment,Comment,Comment,Comment
"投资 -- 修改现有收支逻辑, 对每次还款 的 计息天数, 计息开始日期, 计息本金, 计息利率 进行保存 ",KINVEST-860,20994,,Story,In Progress,KINVEST,KINVEST,software,admin,,,Medium,,Alex,Alex,Alex,22/Nov/17 12:26 PM,27/Nov/17 12:13 PM,27/Nov/17 12:34 PM,,,0,,,"投资 -- 修改现有收支逻辑, 对每次还款 的 计息天数, 计息开始日期, 计息本金, 计息利率 进行保存 :
     利息保留 四位小数. 小v要求",,Alex,,,,,,,,,,,,,,KINVEST-16,,,,0|hzzxp0:,sprint 11-27,,,,10.0,,,,,,,,,,,,,
"投资 -- 修复 p2p订单 汇总数据 提前还款 数据为0, 没有显示 正确数值",KINVEST-840,20822,,Story,Done,KINVEST,KINVEST,software,admin,,,Medium,Done,Alex,Alex,Alex,18/Nov/17 11:39 PM,27/Nov/17 12:13 PM,27/Nov/17 12:34 PM,27/Nov/17 9:57 AM,,0,,,"投资 -- 修复 p2p订单 汇总数据 提前还款 数据为0, 没有显示 正确数值",,Alex,,,,,,,,,,,,,,KINVEST-16,,,,0|i013q5:,sprint 11-27,,,,0.5,,,,,,,,,,,,,
"投资-- 完善 开发管理 直投订单显示, 以便开发可以清晰 看到订单状态",KINVEST-889,21259,,Story,Done,KINVEST,KINVEST,software,admin,,,Medium,Done,Alex,Alex,Alex,25/Nov/17 2:53 PM,27/Nov/17 9:56 AM,27/Nov/17 12:34 PM,27/Nov/17 9:56 AM,,0,,,"投资-- 完善 开发管理 直投订单显示, 以便开发可以清晰 看到订单状态",,Alex,,,,,,,,,,,,,,KINVEST-16,,,,0|i013qc:,sprint 11-27,,,,1.5,,,,,,,,,,,,,
"投资--清算人员可以在企业管理---订单列表看到各个订单类型的「本金」和「投资者利息」, 考拉服务费 ，以便做清算汇总",KINVEST-873,21101,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,Alex,Jolen,Jolen,23/Nov/17 6:33 PM,25/Nov/17 6:23 PM,27/Nov/17 12:34 PM,,,0,,,,,Jolen,,,,,,,,,,,,,,KINVEST-16,,,,0|i013pz:,sprint 11-27,,,,2.0,,,,,,,,,,24/Nov/17 5:14 PM;Jolen;确认在  P2P订单--订单列表  中增加三个汇总字段「本金」、「投资者利息」、「考拉服务费」，汇总字段过多则换行。,,,
投资 -- 完善 达飞计息天数规则,KINVEST-801,20264,,Story,In Progress,KINVEST,KINVEST,software,admin,,,Medium,,Alex,Alex,Alex,08/Nov/17 4:04 PM,24/Nov/17 9:33 PM,27/Nov/17 12:34 PM,,,0,,,"投资 -- 完善 达飞计息天数规则:
      现达飞计息天数规则错误, 应使用上一次企业还代偿日期进行计算, 
      示例标的: 59965b0a43a5e20016af96bd",,Alex,,,,,,,,,,,,,,KINVEST-16,,,,0|hzzxqa:,sprint 11-27,,,,8.0,,,,,,,,,,,,,
达飞计息规则错误,KINVEST-800,20263,,Bug,In Progress,KINVEST,KINVEST,software,admin,,,High,,Alex,Micy,Micy,08/Nov/17 4:02 PM,24/Nov/17 9:33 PM,27/Nov/17 12:34 PM,,,0,,,达飞计息规则错误,,Micy,,,,,,,,,,,,,,,,,,0|hzzxoy:,sprint 11-27,,,,,,,,,,,,,,,,,
"直投 -- 修改 现有任务框架, 各个平台可以配置对应任务 定时运行时间, 时间可以是对个,  满足平台 需求",KINVEST-839,20819,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,Alex,Alex,Alex,18/Nov/17 11:08 AM,24/Nov/17 7:36 PM,27/Nov/17 12:34 PM,,,0,,,"直投 -- 修改 现有任务框架, 各个平台可以配置对应任务 定时运行时间, 时间可以是对个,  满足平台 需求",,Alex,,,,,,,,,,,,,,KINVEST-15,,,,0|hzzxpy:,sprint 11-27,,,,4.0,,,,,,,,,,,,,
投资--清算人员可以在企业管理--订单列表 看到各个订单类型正确的汇总「总金额」，以便做清算汇总,KINVEST-872,21100,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,Alex,Jolen,Jolen,23/Nov/17 6:31 PM,24/Nov/17 5:45 PM,27/Nov/17 12:34 PM,,,0,,,,,Jolen,,,,,,,,,,,,,,,,,,0|i013px:i,sprint 11-27,,,,1.0,,,,,,,,,,,,,
考拉可以配合什马金融的文档沟通，回答技术问题，以对接该平台,KINVEST-879,21235,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,Alex,hank,hank,24/Nov/17 5:34 PM,24/Nov/17 5:45 PM,27/Nov/17 12:34 PM,,,0,,,,,hank,,,,,,,,,,,,,,,,,,0|i013dc:zu,sprint 11-27,,,,8.0,,,,,,,,,,,,,
dev可以有什马金融对接的总体设计方案，以对接平台,KINVEST-881,21237,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,Alex,hank,hank,24/Nov/17 5:37 PM,24/Nov/17 5:45 PM,27/Nov/17 12:34 PM,,,0,,,,,hank,,,,,,,,,,,,,,,,,,0|i013dc:zt,sprint 11-27,,,,3.0,,,,,,,,,,,,,
"P2P - 添加 修改企业信息接口, 以便合作企业可以修改企业信息",KINVEST-793,20176,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,Alex,Alex,Alex,06/Nov/17 10:35 PM,24/Nov/17 2:09 PM,27/Nov/17 12:34 PM,,,0,,,"P2P - 添加 修改企业信息接口, 以便合作企业可以修改企业信息",,Alex,,,,,,,,,,,,,,,,,,0|hzzxq6:,sprint 11-27,,,,5.0,,,,,,,,,,,,,
"投资 -- 完善 企业管理, 添加 企业信息修改功能, 满足企业信息修改需求",KINVEST-731,19361,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,Alex,Alex,Alex,19/Oct/17 5:52 PM,24/Nov/17 2:09 PM,27/Nov/17 12:34 PM,,,0,,,"投资 -- 完善 企业管理, 添加 企业信息修改功能, 满足企业信息修改需求",,Alex,,,,,,,,,,,,,,KINVEST-16,,,,0|hzzxqe:,sprint 11-27,,,,5.0,,,,,,,,,,,,,
Wap - 用户在【余额自动投资】界面设置“余额保留金额”，不需要设置投资上限（余额自动投资范围→余额保留金额）,KAPP-1822,21229,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,brady_z,Lynn,Lynn,24/Nov/17 4:35 PM,24/Nov/17 4:35 PM,27/Nov/17 12:34 PM,,,0,,,,,Lynn,,,,,,,,,,,,,,,,,,0|i013o1:,Sprint 11.27-12.01,,,,4.0,,,,,,,,,,,,,
Wap- 用户的VIP等级升级后，可以在购买成功页看到popup，以便加强用户的荣誉感,KAPP-1820,21226,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,brady_z,Lynn,Lynn,24/Nov/17 4:34 PM,24/Nov/17 4:34 PM,27/Nov/17 12:34 PM,,,0,,,,,Lynn,,,,,,,,,,,,,,,,,,0|i013nl:,Sprint 11.27-12.01,,,,4.0,,,,,,,,,,,,,
Wap- 推广可以在充值并购买完成页可配置button文案和跳转链接，以完善活动闭环,KAPP-1819,21225,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,brady_z,Lynn,Lynn,24/Nov/17 4:33 PM,24/Nov/17 4:34 PM,27/Nov/17 12:34 PM,,,0,,,,,Lynn,,,,,,,,,,,,,,,,,,0|i013nd:,Sprint 11.27-12.01,,,,4.0,,,,,,,,,,,,,
WAP-用户参与21天转赚转活动后的订单，可以看到更清晰的订单进度和展示,KAPP-1794,21124,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,brady_z,juna,juna,24/Nov/17 11:10 AM,24/Nov/17 4:17 PM,27/Nov/17 12:34 PM,,,0,,,,,juna,,,,,,,,,,,,,,KAPP-1714,,,,0|i012t0:,Sprint 11.27-12.01,,,,5.0,,,,,,,,,,,,,
用户在转赚转的产品的进行中的订单，还是可以看到已经刚结束上一轮的订单,KAPP-1761,20946,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,brady_z,juna,juna,21/Nov/17 3:25 PM,24/Nov/17 3:31 PM,27/Nov/17 12:34 PM,,,0,,,"父订单显示：已结算---投资中，查看已结算订单
（时间取最近一笔本金回款的月份）
投资本金（取购买本金）
已获收益（累计每一笔本金带来的收益）

子订单显示：跟普通订单一样即可",,juna,,,,,,,,,,,,,,KAPP-1714,,,,0|i012sw:,Sprint 11.27-12.01,,,,5.0,,,,,,,,,,,,,
用户在转赚转产品的订单结束后可以看到已结算的订单的明细,KAPP-1760,20945,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,brady_z,juna,juna,21/Nov/17 3:24 PM,24/Nov/17 3:29 PM,27/Nov/17 12:34 PM,,,0,,,"父订单显示：
（时间取最后一笔本金回款的月份）
投资本金（取购买本金）
已获收益（累计每一笔本金带来的收益）

子订单显示：跟原来的保持一致即可",,juna,,,,,,,,,,,,,,KAPP-1714,,,,0|i012sv:,Sprint 11.27-12.01,,,,4.0,,,,,,,,,,,,,
